MunichReds,FCBrugge,5-0, 1.94 , 3.35 , 3.3 ,1.54,2.08,17:39
Μαρσέιγ,Παρί,2-2, 2.47 , 2.52 , 3.15 ,1.48,2.2,17:36
Μάριμπορ,Φράιμπουργκ,1-0, 2.27 , 2.7 , 3.25 ,1.56,2.05,17:33
Ντόρτμουντ,Μπεσίκτας,4-1, 1.98 , 3.25 , 3.25 ,1.51,2.13,17:27
Eindhoven,Fener,2-0, 2.16 , 2.93 , 3.15 ,1.49,2.19,17:24
Νιούκαστλ,Leeds,2-2, 2.58 , 2.49 , 3.05 ,1.4,2.42,17:21
SportingLions,Μαρσέιγ,1-1, 2.4 , 2.67 , 3.05 ,1.4,2.42,17:09
FeyenordReds,BetisGreens,1-1, 2.44 , 2.54 , 3.15 ,1.49,2.18,17:03
Μπεσίκτας,RedDevils,0-2, 2.74 , 2.31 , 3.1 ,1.46,2.26,17:00
Αγρίνιο,Λαμία,0-2, 2.09 , 3.1 , 3.15 ,1.46,2.25,16:54
CelticGreens,Lipsia,0-2, 2.6 , 2.52 , 2.95 ,1.34,2.59,16:51
ManchesterBlue,Πράσινοι,1-0, 1.79 , 3.85 , 3.3 ,1.51,2.15,16:42
Ρόμα,NisCity,1-1, 1.93 , 3.35 , 3.3 ,1.55,2.07,16:39
DoriaBlues,Udine,1-0, 2.57 , 2.5 , 3.05 ,1.4,2.41,16:36
Frankfurt,Lipsia,0-2, 2.49 , 2.6 , 2.99 ,1.37,2.5,23:09
BocaBoys,Berlin,0-2, 1.93 , 3.5 , 3.15 ,1.43,2.33,23:00
Παρί,Ναντ,4-2, 1.84 , 3.65 , 3.35 ,1.54,2.08,22:48
Πράσινοι,Ιωάννινα,0-1, 1.99 , 3.25 , 3.25 ,1.51,2.14,22:45
Φράιμπουργκ,Ντόρτμουντ,2-1, 2.46 , 2.53 , 3.15 ,1.48,2.19,22:39
Monchengladbach,Laziali,1-1, 2.1 , 3 , 3.2 ,1.52,2.13,22:33
Ηράκλειο,Λειβαδιά,1-0, 2.24 , 2.84 , 3.1 ,1.45,2.27,22:30
